,0,1,2,3,4,5
85,9,0.75,QSAR-TID-100621,QSAR-TID-10980,3078,3277
86,8,0.8888888888888888,QSAR-TID-10849,QSAR-TID-11,3079,3050
87,9,0.75,QSAR-TID-10849,QSAR-TID-10980,3079,3277
88,8,0.8888888888888888,QSAR-TID-101508,QSAR-TID-11,3080,3050
89,9,0.75,QSAR-TID-101508,QSAR-TID-10980,3080,3277
90,7,0.7777777777777778,QSAR-TID-234,QSAR-TID-11,3081,3050
91,7,0.5833333333333334,QSAR-TID-234,QSAR-TID-10980,3081,3277
92,9,1.0,QSAR-TID-11694,QSAR-TID-11,3082,3050
93,8,0.6666666666666666,QSAR-TID-11694,QSAR-TID-10980,3082,3277
94,8,0.8888888888888888,QSAR-TID-103561,QSAR-TID-11,3084,3050
95,9,0.75,QSAR-TID-103561,QSAR-TID-10980,3084,3277
96,8,0.8888888888888888,QSAR-TID-10250,QSAR-TID-11,3085,3050
97,9,0.75,QSAR-TID-10250,QSAR-TID-10980,3085,3277
98,7,0.7777777777777778,QSAR-TID-30007,QSAR-TID-11,3086,3050
99,7,0.5833333333333334,QSAR-TID-30007,QSAR-TID-10980,3086,3277
100,9,1.0,QSAR-TID-11451,QSAR-TID-11,3088,3050
101,8,0.6666666666666666,QSAR-TID-11451,QSAR-TID-10980,3088,3277
102,8,0.8888888888888888,QSAR-TID-10051,QSAR-TID-11,3089,3050
103,9,0.75,QSAR-TID-10051,QSAR-TID-10980,3089,3277
104,8,0.8888888888888888,QSAR-TID-10981,QSAR-TID-11,3090,3050
105,11,0.9166666666666666,QSAR-TID-10981,QSAR-TID-10980,3090,3277
106,8,0.8888888888888888,QSAR-TID-10478,QSAR-TID-11,3091,3050
107,9,0.75,QSAR-TID-10478,QSAR-TID-10980,3091,3277
108,8,0.8888888888888888,QSAR-TID-10009,QSAR-TID-11,3092,3050
109,9,0.75,QSAR-TID-10009,QSAR-TID-10980,3092,3277
110,8,0.8888888888888888,QSAR-TID-10659,QSAR-TID-11,3093,3050
111,9,0.75,QSAR-TID-10659,QSAR-TID-10980,3093,3277
112,8,0.8888888888888888,QSAR-TID-101097,QSAR-TID-11,3094,3050
113,10,0.8333333333333334,QSAR-TID-101097,QSAR-TID-10980,3094,3277
114,7,0.7777777777777778,QSAR-TID-52,QSAR-TID-11,3096,3050
115,7,0.5833333333333334,QSAR-TID-52,QSAR-TID-10980,3096,3277
116,7,0.7777777777777778,QSAR-TID-20174,QSAR-TID-11,3097,3050
117,7,0.5833333333333334,QSAR-TID-20174,QSAR-TID-10980,3097,3277
118,8,0.8888888888888888,QSAR-TID-100908,QSAR-TID-11,3098,3050
119,9,0.75,QSAR-TID-100908,QSAR-TID-10980,3098,3277
120,8,0.8888888888888888,QSAR-TID-10530,QSAR-TID-11,3100,3050
121,9,0.75,QSAR-TID-10530,QSAR-TID-10980,3100,3277
122,7,0.7777777777777778,QSAR-TID-30049,QSAR-TID-11,3101,3050
123,7,0.5833333333333334,QSAR-TID-30049,QSAR-TID-10980,3101,3277
124,7,0.7777777777777778,QSAR-TID-250,QSAR-TID-11,3103,3050
125,7,0.5833333333333334,QSAR-TID-250,QSAR-TID-10980,3103,3277
126,8,0.8888888888888888,QSAR-TID-10075,QSAR-TID-11,3104,3050
127,9,0.75,QSAR-TID-10075,QSAR-TID-10980,3104,3277
128,9,1.0,QSAR-TID-11300,QSAR-TID-11,3105,3050
129,8,0.6666666666666666,QSAR-TID-11300,QSAR-TID-10980,3105,3277
130,8,0.8888888888888888,QSAR-TID-19904,QSAR-TID-11,3106,3050
131,8,0.6666666666666666,QSAR-TID-19904,QSAR-TID-10980,3106,3277
132,8,0.8888888888888888,QSAR-TID-12078,QSAR-TID-11,3107,3050
133,8,0.6666666666666666,QSAR-TID-12078,QSAR-TID-10980,3107,3277
134,8,0.8888888888888888,QSAR-TID-10766,QSAR-TID-11,3110,3050
135,9,0.75,QSAR-TID-10766,QSAR-TID-10980,3110,3277
136,8,0.8888888888888888,QSAR-TID-102406,QSAR-TID-11,3111,3050
137,9,0.75,QSAR-TID-102406,QSAR-TID-10980,3111,3277
138,8,0.8888888888888888,QSAR-TID-12407,QSAR-TID-11,3112,3050
139,8,0.6666666666666666,QSAR-TID-12407,QSAR-TID-10980,3112,3277
140,8,0.8888888888888888,QSAR-TID-100080,QSAR-TID-11,3113,3050
141,9,0.75,QSAR-TID-100080,QSAR-TID-10980,3113,3277
142,9,1.0,QSAR-TID-11866,QSAR-TID-11,3114,3050
143,8,0.6666666666666666,QSAR-TID-11866,QSAR-TID-10980,3114,3277
144,9,1.0,QSAR-TID-11242,QSAR-TID-11,3115,3050
145,8,0.6666666666666666,QSAR-TID-11242,QSAR-TID-10980,3115,3277
146,7,0.7777777777777778,QSAR-TID-30000,QSAR-TID-11,3116,3050
147,7,0.5833333333333334,QSAR-TID-30000,QSAR-TID-10980,3116,3277
148,9,1.0,QSAR-TID-11017,QSAR-TID-11,3117,3050
149,8,0.6666666666666666,QSAR-TID-11017,QSAR-TID-10980,3117,3277
150,8,0.8888888888888888,QSAR-TID-17084,QSAR-TID-11,3118,3050
151,8,0.6666666666666666,QSAR-TID-17084,QSAR-TID-10980,3118,3277
152,7,0.7777777777777778,QSAR-TID-227,QSAR-TID-11,3119,3050
153,7,0.5833333333333334,QSAR-TID-227,QSAR-TID-10980,3119,3277
154,8,0.8888888888888888,QSAR-TID-102465,QSAR-TID-11,3120,3050
155,9,0.75,QSAR-TID-102465,QSAR-TID-10980,3120,3277
156,9,1.0,QSAR-TID-11036,QSAR-TID-11,3121,3050
157,8,0.6666666666666666,QSAR-TID-11036,QSAR-TID-10980,3121,3277
